num,cat,ami
frame_count,vocal_channel,0.2948686581089683
frame_count,emotion,0.07104157006383122
frame_count,emotional_intensity,0.017732781523153638
frame_count,statement,0.0004884147038814741
frame_count,repetition,-0.0005091626125434599
frame_count,actor,0.057616910528482126
frame_count,sex,0.018423001360247996
sum,vocal_channel,0.03892747193556949
sum,emotion,0.02615420810083581
sum,emotional_intensity,0.01356652411386366
sum,statement,0.0038830473466594387
sum,repetition,-0.0003681175431169661
sum,actor,0.10810987678031339
sum,sex,0.032625627470067066
mean,vocal_channel,0.028821269301720732
mean,emotion,0.025273774090110848
mean,emotional_intensity,0.013228875718369964
mean,statement,0.004117287769586174
mean,repetition,-0.00013439271828894704
mean,actor,0.11177132204421457
mean,sex,0.03400804920430683
std,vocal_channel,0.05331575162776831
std,emotion,0.10607365341218908
std,emotional_intensity,0.06507275872144212
std,statement,0.000526831845271717
std,repetition,-0.0002169452474326073
std,actor,0.05182608748179706
std,sex,0.004272969201021184
min,vocal_channel,0.021260628013127558
min,emotion,0.12594138261699123
min,emotional_intensity,0.07496676826329603
min,statement,-0.0003493135019418569
min,repetition,-0.0004620323184526028
min,actor,0.05079642750494193
min,sex,0.0011980686409014225
max,vocal_channel,0.017305044835724
max,emotion,0.12947284402007586
max,emotional_intensity,0.07573846581457344
max,statement,-0.00043562985935727055
max,repetition,-0.00040582793856713275
max,actor,0.04837983218456041
max,sex,0.0006178415053637165
q01,vocal_channel,0.04684056773892803
q01,emotion,0.10970552138163812
q01,emotional_intensity,0.06849904728351071
q01,statement,-0.0003577851124439946
q01,repetition,-0.00024687010191982
q01,actor,0.05101633404088832
q01,sex,0.00428847196267695
q05,vocal_channel,0.07421644408532152
q05,emotion,0.09894087551711374
q05,emotional_intensity,0.06182743306278709
q05,statement,0.0021105013936065027
q05,repetition,0.000108433900253812
q05,actor,0.04570618570482875
q05,sex,0.002652319446249485
q25,vocal_channel,0.20688123406241662
q25,emotion,0.04619673026948427
q25,emotional_intensity,0.027984160905565627
q25,statement,0.0006150390791031302
q25,repetition,-0.0005919043967712237
q25,actor,0.09158216840402808
q25,sex,0.003954556851595684
q75,vocal_channel,0.22656295105174984
q75,emotion,0.04429458486530128
q75,emotional_intensity,0.0247581062544479
q75,statement,0.002621549494891744
q75,repetition,-0.0008861730107136606
q75,actor,0.07505627069381886
q75,sex,0.00664180921820919
q95,vocal_channel,0.06909528196412579
q95,emotion,0.09751313137685831
q95,emotional_intensity,0.061012462502432314
q95,statement,0.0014758199270640884
q95,repetition,-0.0004567074087298897
q95,actor,0.050397622913360474
q95,sex,0.0035339940033952215
q99,vocal_channel,0.044018774502437664
q99,emotion,0.10758187689397306
q99,emotional_intensity,0.06782654064927056
q99,statement,-0.0005459849567726416
q99,repetition,-0.000646590654639761
q99,actor,0.053617716633363094
q99,sex,0.003379302142728805
kur,vocal_channel,0.17506789705358305
kur,emotion,0.03844506341425091
kur,emotional_intensity,0.004269558502326157
kur,statement,0.012192451689502604
kur,repetition,0.0005564475654384896
kur,actor,0.03158673461818968
kur,sex,0.0071627127726771635
skew,vocal_channel,0.008280170857778043
skew,emotion,0.029994679617833177
skew,emotional_intensity,0.007770584691439659
skew,statement,0.0005578533795761663
skew,repetition,-0.0008469385515484084
skew,actor,0.1245331398207301
skew,sex,0.020574428504862498
lag1_std,vocal_channel,0.018184182031093583
lag1_std,emotion,0.1172211049495291
lag1_std,emotional_intensity,0.07002304710812556
lag1_std,statement,0.010077940082073869
lag1_std,repetition,-0.00046304279648252657
lag1_std,actor,0.04512125036458097
lag1_std,sex,0.012544313830279484
lag1_min,vocal_channel,0.005224662791109339
lag1_min,emotion,0.11641403666749273
lag1_min,emotional_intensity,0.05968123044201642
lag1_min,statement,0.004426702333470178
lag1_min,repetition,-0.0009550898484015799
lag1_min,actor,0.05660913031313685
lag1_min,sex,0.021339098876392414
lag1_max,vocal_channel,0.00502685566027378
lag1_max,emotion,0.11900156375280577
lag1_max,emotional_intensity,0.06308617865458567
lag1_max,statement,0.003071621991938042
lag1_max,repetition,-3.1237929913894544e-05
lag1_max,actor,0.05762769901372318
lag1_max,sex,0.01931741111983079
lag1_q01,vocal_channel,0.016271384655875003
lag1_q01,emotion,0.12210611797708218
lag1_q01,emotional_intensity,0.0686106553480112
lag1_q01,statement,0.014919855435188518
lag1_q01,repetition,-0.0007208599562083633
lag1_q01,actor,0.03999125609826782
lag1_q01,sex,0.010441078627629384
lag1_q05,vocal_channel,0.03882922319063722
lag1_q05,emotion,0.11694389600691456
lag1_q05,emotional_intensity,0.06926275366144688
lag1_q05,statement,0.003422048164825963
lag1_q05,repetition,-0.0008370680852658951
lag1_q05,actor,0.04300661627331648
lag1_q05,sex,0.009577666996007443
lag1_q95,vocal_channel,0.04309073878921917
lag1_q95,emotion,0.1117971242622338
lag1_q95,emotional_intensity,0.06769924483175084
lag1_q95,statement,0.004313716536254748
lag1_q95,repetition,-0.0009813464676384702
lag1_q95,actor,0.043693659257919064
lag1_q95,sex,0.01024234161806101
lag1_q99,vocal_channel,0.021494648362400722
lag1_q99,emotion,0.11787322104844165
lag1_q99,emotional_intensity,0.06860998912571029
lag1_q99,statement,0.012099899669193117
lag1_q99,repetition,-0.0007993625595011076
lag1_q99,actor,0.04101186096516135
lag1_q99,sex,0.01090013105792271
lag1_kur,vocal_channel,0.0920646464310162
lag1_kur,emotion,0.03613736824504684
lag1_kur,emotional_intensity,0.015629561257945634
lag1_kur,statement,0.029661742176617868
lag1_kur,repetition,0.00033571316530810685
lag1_kur,actor,0.03201009350232475
