num,cat,ami
frame_count,vocal_channel,0.2948686581089681
frame_count,emotion,0.0710415700638314
frame_count,emotional_intensity,0.017732781523153662
frame_count,statement,0.0004884147038816122
frame_count,repetition,-0.0005091626125433216
frame_count,actor,0.05761691052848044
frame_count,sex,0.018423001360247996
sum,vocal_channel,0.038927471935569426
sum,emotion,0.026154208100830773
sum,emotional_intensity,0.013566524113863714
sum,statement,0.003883047346659766
sum,repetition,-0.00036811754311663744
sum,actor,0.10810987678032478
sum,sex,0.03262562747006715
mean,vocal_channel,0.02882126930172067
mean,emotion,0.025273774090105807
mean,emotional_intensity,0.013228875718370017
mean,statement,0.004117287769586502
mean,repetition,-0.00013439271828861841
mean,actor,0.11177132204422592
mean,sex,0.0340080492043069
std,vocal_channel,0.053315751627768256
std,emotion,0.10607365341218444
std,emotional_intensity,0.06507275872144218
std,statement,0.0005268318452720456
std,repetition,-0.00021694524743227865
std,actor,0.05182608748180918
std,sex,0.004272969201021261
min,vocal_channel,0.021260628013127458
min,emotion,0.12594138261698784
min,emotional_intensity,0.07496676826329608
min,statement,-0.00034931350194152965
min,repetition,-0.0004620323184522755
min,actor,0.05079642750495367
min,sex,0.0011980686409014977
max,vocal_channel,0.017305044835723923
max,emotion,0.12947284402007192
max,emotional_intensity,0.0757384658145735
max,statement,-0.00043562985935694133
max,repetition,-0.00040582793856680353
max,actor,0.04837983218457242
max,sex,0.0006178415053637929
q01,vocal_channel,0.046840567738927974
q01,emotion,0.10970552138163352
q01,emotional_intensity,0.06849904728351076
q01,statement,-0.00035778511244366593
q01,repetition,-0.00024687010191949135
q01,actor,0.05101633404090045
q01,sex,0.004288471962677027
q05,vocal_channel,0.07421644408532142
q05,emotion,0.09894087551710974
q05,emotional_intensity,0.061827433062787145
q05,statement,0.0021105013936068254
q05,repetition,0.00010843390025413564
q05,actor,0.04570618570483874
q05,sex,0.0026523194462495596
q25,vocal_channel,0.20688123406241637
q25,emotion,0.04619673026948269
q25,emotional_intensity,0.02798416090556559
q25,statement,0.0006150390791037189
q25,repetition,-0.0005919043967706343
q25,actor,0.09158216840403224
q25,sex,0.0039545568515961015
q75,vocal_channel,0.2265629510517497
q75,emotion,0.04429458486529918
q75,emotional_intensity,0.024758106254448024
q75,statement,0.002621549494891774
q75,repetition,-0.0008861730107136304
q75,actor,0.07505627069381948
q75,sex,0.006641809218209076
q95,vocal_channel,0.06909528196412572
q95,emotion,0.09751313137685402
q95,emotional_intensity,0.061012462502432356
q95,statement,0.001475819927064414
q95,repetition,-0.00045670740872956337
q95,actor,0.05039762291336858
q95,sex,0.003533994003395298
q99,vocal_channel,0.044018774502437595
q99,emotion,0.107581876893969
q99,emotional_intensity,0.06782654064927061
q99,statement,-0.0005459849567723138
q99,repetition,-0.0006465906546394331
q99,actor,0.053617716633375084
q99,sex,0.0033793021427288806
kur,vocal_channel,0.17506789705358297
kur,emotion,0.038445063414245945
kur,emotional_intensity,0.004269558502326212
kur,statement,0.012192451689502929
kur,repetition,0.000556447565438818
kur,actor,0.03158673461820206
kur,sex,0.00716271277267724
skew,vocal_channel,0.008280170857777982
skew,emotion,0.02999467961782816
skew,emotional_intensity,0.007770584691439714
skew,statement,0.0005578533795764947
skew,repetition,-0.0008469385515480795
skew,actor,0.12453313982074128
skew,sex,0.020574428504862574
lag1_std,vocal_channel,0.01818418203109352
lag1_std,emotion,0.11722110494952453
lag1_std,emotional_intensity,0.07002304710812561
lag1_std,statement,0.010077940082074195
lag1_std,repetition,-0.00046304279648219784
lag1_std,actor,0.045121250364593184
lag1_std,sex,0.01254431383027956
lag1_min,vocal_channel,0.005224662791109261
lag1_min,emotion,0.11641403666748809
lag1_min,emotional_intensity,0.059681230442016474
lag1_min,statement,0.004426702333470503
lag1_min,repetition,-0.0009550898484012539
lag1_min,actor,0.05660913031314572
lag1_min,sex,0.02133909887639249
lag1_max,vocal_channel,0.0050268556602736745
lag1_max,emotion,0.11900156375280256
lag1_max,emotional_intensity,0.06308617865458573
lag1_max,statement,0.003071621991938367
lag1_max,repetition,-3.123792991356855e-05
lag1_max,actor,0.05762769901373279
lag1_max,sex,0.019317411119830864
lag1_q01,vocal_channel,0.016271384655874896
lag1_q01,emotion,0.12210611797707864
lag1_q01,emotional_intensity,0.06861065534801124
lag1_q01,statement,0.014919855435188832
lag1_q01,repetition,-0.0007208599562080423
lag1_q01,actor,0.039991256098275564
lag1_q01,sex,0.010441078627629457
lag1_q05,vocal_channel,0.03882922319063708
lag1_q05,emotion,0.11694389600691248
lag1_q05,emotional_intensity,0.06926275366144695
lag1_q05,statement,0.003422048164826258
lag1_q05,repetition,-0.0008370680852655989
lag1_q05,actor,0.04300661627332088
lag1_q05,sex,0.009577666996007504
lag1_q95,vocal_channel,0.04309073878921904
lag1_q95,emotion,0.11179712426223141
lag1_q95,emotional_intensity,0.0676992448317509
lag1_q95,statement,0.004313716536255045
lag1_q95,repetition,-0.000981346467638172
lag1_q95,actor,0.043693659257924254
lag1_q95,sex,0.010242341618061071
lag1_q99,vocal_channel,0.021494648362400594
lag1_q99,emotion,0.11787322104844002
lag1_q99,emotional_intensity,0.06860998912571036
lag1_q99,statement,0.012099899669193408
lag1_q99,repetition,-0.0007993625595008116
lag1_q99,actor,0.04101186096516601
lag1_q99,sex,0.010900131057922771
lag1_kur,vocal_channel,0.09206464643101614
lag1_kur,emotion,0.03613736824504185
lag1_kur,emotional_intensity,0.015629561257945686
lag1_kur,statement,0.029661742176618187
lag1_kur,repetition,0.00033571316530843536
lag1_kur,actor,0.03201009350233713
